src_ip,dst_ip,sport,dsport,proto,duration,bytes,packets,src_bytes,dst_bytes,src_pkts,dst_pkts,label,type
192.168.103.180,10.0.141.98,54403,445,6,12.021811399198665,13983,52,186,42,21,31,0,normal
192.168.93.15,10.0.106.85,19285,445,17,1.740910822043892,115,38,213,2717,19,24,0,normal
192.168.107.72,10.0.214.121,28402,22,17,2.3229324368539763,3005,52,127,20858,30,29,0,normal
192.168.189.21,10.0.132.82,52662,3389,6,0.5386148426012187,3766,59,679,88,24,24,0,normal
192.168.103.122,10.0.197.19,57062,80,17,11.51125173494825,1636,61,5806,4090,24,21,0,normal
192.168.211.215,10.0.130.12,22243,22,6,1.6851461211451162,47544,57,1048,2178,29,35,0,normal
192.168.75.203,10.0.81.74,12961,22,6,1.49821741492508,261,11,4133,276,24,18,1,password
192.168.88.117,10.0.98.6,1818,445,6,12.645082591921494,1216,47,2870,64977,24,28,0,normal
192.168.100.104,10.0.136.125,48390,22,17,8.187306177566464,545,5,447,10949,30,28,1,password
192.168.152.131,10.0.51.11,7810,3389,17,0.7603911862996229,23384,41,13047,13057,20,22,0,normal
192.168.150.53,10.0.191.185,37806,8080,6,7.333716674454697,380,46,8090,1189,28,16,0,normal
192.168.2.88,10.0.127.140,41184,22,6,12.211138350560569,76,56,5667,53,21,21,0,normal
192.168.236.158,10.0.73.2,46337,3389,6,0.4088233790250443,7064,42,2519,1544,33,19,0,normal
192.168.38.130,10.0.8.250,39145,3389,1,8.720993013236157,2256,52,555,853,22,18,0,normal
192.168.192.188,10.0.139.124,37199,445,6,3.9639542525243665,23877,41,553,8465,29,28,0,normal
192.168.21.161,10.0.53.228,28056,80,17,5.531168026996043,15133,49,1033,336,26,26,0,normal
192.168.204.58,10.0.10.213,27451,22,6,3.394785083317153,2738,45,17254,15814,21,26,0,normal
192.168.22.253,10.0.212.112,18382,3389,6,5.983382186766867,166,44,10254,316,19,31,0,normal
192.168.236.89,10.0.8.36,59415,443,6,0.17346377987334688,271,52,61,4498,22,27,0,normal
192.168.49.219,10.0.221.106,62734,3389,1,7.192292240545064,85,60,1843,246,21,26,0,normal
192.168.59.170,10.0.204.253,30814,80,6,0.16956136828111001,2260,45,7,1015,23,22,0,normal
192.168.220.188,10.0.14.240,21645,3389,17,3.0375990753800624,798,50,453,76,35,22,0,normal
192.168.208.15,10.0.182.242,49845,445,6,0.81827430229385,2076,44,283,1268,30,31,0,normal
192.168.190.190,10.0.213.86,29389,22,6,8.67427663018111,25556,49,3334,146,22,25,1,ransomware
192.168.175.190,10.0.149.236,14213,445,17,1.8819173594489857,132800,36,124,3327,31,23,0,normal
192.168.51.108,10.0.50.222,12237,22,17,3.026538225147803,9525,49,51,4415,26,25,0,normal
192.168.55.244,10.0.167.20,8272,8080,17,2.79964817226067,3438,39,404,1071,29,20,0,normal
192.168.64.249,10.0.216.87,5393,22,6,7.403068405003983,130,43,1079,296,25,27,0,normal
192.168.131.229,10.0.135.137,64787,80,6,3.28064792201506,875,44,33,2465,22,22,1,xss
192.168.51.135,10.0.129.154,9074,445,6,7.778498502968287,17390,55,10674,7339,24,17,0,normal
192.168.21.73,10.0.166.38,29629,443,6,0.3817508335240095,6513,40,733,780,25,28,0,normal
192.168.167.18,10.0.246.189,50640,80,1,1.0634541585393331,366,54,1153,464,24,22,0,normal
192.168.132.89,10.0.44.86,55503,443,6,4.009614826370303,1404,51,9949,88,28,22,0,normal
192.168.60.14,10.0.44.74,39207,80,6,14.695656301808036,648,41,253,1695,25,21,1,injection
192.168.242.250,10.0.119.190,16422,3389,6,0.3884989420111507,1317,57,21217,9136,23,25,0,normal
192.168.9.90,10.0.122.134,41907,3389,6,0.22019945782668468,867,48,1108,19148,28,26,0,normal
192.168.53.130,10.0.145.51,34079,443,6,0.8512772788757382,40,45,5345,1762,33,28,0,normal
192.168.84.92,10.0.242.38,4219,3389,6,5.1242976213753,641,59,2664,66,28,22,0,normal
192.168.111.188,10.0.152.51,26475,8080,6,2.54574279304986,4926,53,4332,428,24,23,0,normal
192.168.199.172,10.0.10.120,52168,445,6,8.730653754909953,17158,45,1276,11396,32,28,0,normal
192.168.253.8,10.0.200.149,8474,80,1,0.3732575687435191,3471,52,429,5677,20,32,0,normal
192.168.175.35,10.0.248.70,3949,22,6,1.0933558791501115,24807,42,52972,138,29,30,0,normal
192.168.206.81,10.0.85.57,15539,8080,6,171.3319529395661,2547,45,1053,57143,21,30,1,mitm
192.168.164.50,10.0.126.39,51296,8080,1,4.927267464253775,515,44,122,125,24,29,0,normal
192.168.104.132,10.0.216.33,6334,22,17,5.778655068326458,1155,44,20694,503,20,24,0,normal
192.168.2.254,10.0.187.18,32841,22,1,0.6631064285661359,8087,44,589,2999,29,25,0,normal
192.168.134.54,10.0.184.220,50622,80,1,14.39461157740832,1743,57,34,935,25,24,0,normal
192.168.106.4,10.0.57.244,28432,80,6,2.085493598484702,824,56,210,572,31,31,0,normal
192.168.54.221,10.0.96.204,45552,80,6,6.244306302839464,132,45,21,1126,29,27,1,backdoor
192.168.191.146,10.0.48.42,48688,3389,6,3.713869521689897,499,58,231,8525,25,31,0,normal
192.168.218.44,10.0.27.74,56803,8080,6,1.2600183444232185,1347,37,36909,51333,22,21,0,normal
192.168.162.202,10.0.110.249,20304,445,17,9.361431971830601,932,33,2746,2012,27,16,0,normal
192.168.190.228,10.0.180.170,18129,22,6,8.525286475461579,424,49,1086,311,24,34,0,normal
192.168.14.95,10.0.32.234,19571,8080,17,2.521500257811309,258368,4037,345,1353,30,32,1,ddos
192.168.48.15,10.0.26.25,11798,8080,17,4.441038703320431,9905,42,832,56891,27,25,0,normal
192.168.200.206,10.0.75.23,16481,80,6,1.4908557613225504,239012,45,10193,5565,34,19,0,normal
192.168.215.252,10.0.226.57,43335,80,17,5.853522395280443,120,45,28,15979,27,18,0,normal
192.168.249.190,10.0.180.232,5004,8080,6,1.8482712930089855,5576,44,391936,5774,20,19,0,normal
192.168.40.213,10.0.126.87,21910,80,6,9.292020533593849,1249,49,187,7196,23,31,0,normal
192.168.208.237,10.0.221.31,12600,3389,17,1.2255726787599732,3100,48,665,1204,32,27,0,normal
192.168.82.111,10.0.64.199,51901,22,6,0.0745704348948185,120758,50,796,19567,37,20,0,normal
192.168.53.24,10.0.232.33,59061,8080,17,1.5633452619339507,91,62,755,3,12,22,0,normal
192.168.154.217,10.0.213.2,32915,22,6,1.0601062111149742,948,64,286,3422,20,26,0,normal
192.168.252.188,10.0.18.175,37205,3389,6,3.5492946329687234,667,56,6308,2856,20,18,0,normal
192.168.124.237,10.0.161.229,34286,80,17,1.1389170670815687,953,50,10740,193,30,34,0,normal
